year,Tm,Attendance,Attend/G,organization
2017,Los Angeles Rams,1062261,66391,nfl
2017,Miami Dolphins,1051161,65698,nfl
2017,Minnesota Vikings,1099905,68744,nfl
2017,New England Patriots,1099028,68689,nfl
2017,New Orleans Saints,1146046,71628,nfl
2017,New York Giants,1183037,73940,nfl
2017,New York Jets,1143358,71460,nfl
2017,Oakland Raiders,988483,61780,nfl
2017,Philadelphia Eagles,1117141,69821,nfl
2017,Pittsburgh Steelers,1035491,64718,nfl
2017,San Francisco 49ers,1104010,69001,nfl
2017,Seattle Seahawks,1129943,70621,nfl
2017,Tampa Bay Buccaneers,1036961,64810,nfl
2017,Tennessee Titans,1040119,65007,nfl
2017,Washington Redskins,1137639,71102,nfl
2016,Arizona Cardinals,1083135,67696,nfl
2016,Atlanta Falcons,1116392,69775,nfl
2016,Baltimore Ravens,1134133,70883,nfl
2016,Buffalo Bills,1098702,68669,nfl
2016,Carolina Panthers,1159680,72480,nfl
2016,Chicago Bears,1060607,66288,nfl
2016,Cincinnati Bengals,1088770,68048,nfl
2016,Cleveland Browns,1044825,65302,nfl
2016,Dallas Cowboys,1322087,82630,nfl
2016,Denver Broncos,1133943,70871,nfl
2016,Detroit Lions,1075305,67207,nfl
2016,Green Bay Packers,1169215,73076,nfl
2016,Houston Texans,1132210,70763,nfl
2016,Indianapolis Colts,1100210,68763,nfl
2016,Jacksonville Jaguars,1031602,64475,nfl
2016,Kansas City Chiefs,1115214,69701,nfl
2016,Los Angeles Rams,1198268,74892,nfl
2016,Miami Dolphins,1073132,67071,nfl
2016,Minnesota Vikings,1084502,67781,nfl
2016,New England Patriots,1094772,68423,nfl
2016,New Orleans Saints,1141039,71315,nfl
2016,New York Giants,1217320,76083,nfl
2016,New York Jets,1168377,73024,nfl
2016,Oakland Raiders,1009172,63073,nfl
2016,Philadelphia Eagles,1125298,70331,nfl
2016,Pittsburgh Steelers,1065627,66602,nfl
2016,San Diego Chargers,998070,62379,nfl
2016,San Francisco 49ers,1119165,69948,nfl
2016,Seattle Seahawks,1138809,71176,nfl
2016,Tampa Bay Buccaneers,1054600,65913,nfl
2016,Tennessee Titans,1016507,63532,nfl
2016,Washington Redskins,1206654,75416,nfl
2015,Arizona Cardinals,1028446,64278,nfl
2015,Atlanta Falcons,1134671,70917,nfl
2015,Baltimore Ravens,1083919,67745,nfl
2015,Buffalo Bills,1140809,71301,nfl
2015,Carolina Panthers,1157689,72356,nfl
2015,Chicago Bears,1020065,63754,nfl
2015,Cincinnati Bengals,1028118,64257,nfl
2015,Cleveland Browns,1062262,66391,nfl
2015,Dallas Cowboys,1312509,82032,nfl
2015,Denver Broncos,1141878,71367,nfl
2015,Detroit Lions,1025745,64109,nfl
2015,Green Bay Packers,1147786,71737,nfl
2015,Houston Texans,1098814,68676,nfl
2015,Indianapolis Colts,1067476,66717,nfl
2015,Jacksonville Jaguars,1056511,66032,nfl
2015,Kansas City Chiefs,1130807,70675,nfl
2015,Miami Dolphins,1093320,68333,nfl
2015,Minnesota Vikings,958016,59876,nfl
2015,New England Patriots,1136287,71018,nfl
2015,New Orleans Saints,1135027,70939,nfl
2015,New York Giants,1198163,74885,nfl
2015,New York Jets,1207646,75478,nfl
2015,Oakland Raiders,970514,60657,nfl
2015,Philadelphia Eagles,1154629,72164,nfl
2015,Pittsburgh Steelers,1050712,65670,nfl
2015,San Diego Chargers,1056457,66029,nfl
2015,San Francisco 49ers,1082259,67641,nfl
2015,Seattle Seahawks,1097931,68621,nfl
2015,St. Louis Rams,957670,59854,nfl
2015,Tampa Bay Buccaneers,1041376,65086,nfl
2015,Tennessee Titans,1045359,65335,nfl
2015,Washington Redskins,1196087,74755,nfl
2014,Arizona Cardinals,1053326,65833,nfl
2014,Atlanta Falcons,1121026,70064,nfl
2014,Baltimore Ravens,1096129,68508,nfl
2014,Buffalo Bills,1085974,67873,nfl
2014,Carolina Panthers,1123313,70207,nfl
2014,Chicago Bears,1050366,65648,nfl
2014,Cincinnati Bengals,1025166,64073,nfl
2014,Cleveland Browns,1083855,67741,nfl
2014,Dallas Cowboys,1293046,80815,nfl
2014,Denver Broncos,1156767,72298,nfl
