year,Tm,Attendance,Attend/G,organization
2000,Oakland Raiders,998655,62416,nfl
2000,Philadelphia Eagles,1039856,64991,nfl
2000,Pittsburgh Steelers,987037,61690,nfl
2000,San Diego Chargers,981863,61366,nfl
2000,San Francisco 49ers,1057954,66122,nfl
2000,Seattle Seahawks,1029085,64318,nfl
2000,St. Louis Rams,1081368,67586,nfl
2000,Tampa Bay Buccaneers,1080729,67546,nfl
2000,Tennessee Titans,1091274,68205,nfl
2000,Washington Redskins,1174332,73396,nfl
,Arizona Cardinals,1005649,62853,nfl
1999,Atlanta Falcons,957594,59850,nfl
1999,Baltimore Ravens,995971,62248,nfl
1999,Buffalo Bills,1103911,68994,nfl
1999,Carolina Panthers,983337,61459,nfl
1999,Chicago Bears,1044226,65264,nfl
1999,Cincinnati Bengals,916042,57253,nfl
1999,Cleveland Browns,1063703,66481,nfl
1999,Dallas Cowboys,1036670,64792,nfl
1999,Denver Broncos,1109037,69315,nfl
1999,Detroit Lions,1094310,68394,nfl
1999,Green Bay Packers,1026536,64159,nfl
1999,Indianapolis Colts,1000238,62515,nfl
1999,Jacksonville Jaguars,1054581,65911,nfl
1999,Kansas City Chiefs,1125231,70327,nfl
1999,Miami Dolphins,1139646,71228,nfl
1999,Minnesota Vikings,1083723,67733,nfl
1999,New England Patriots,1015541,63471,nfl
1999,New Orleans Saints,945488,59093,nfl
1999,New York Giants,1135506,70969,nfl
1999,New York Jets,1149071,71817,nfl
1999,Oakland Raiders,938846,58678,nfl
1999,Philadelphia Eagles,1052846,65803,nfl
1999,Pittsburgh Steelers,972207,60763,nfl
1999,San Diego Chargers,981559,61347,nfl
1999,San Francisco 49ers,1041004,65063,nfl
1999,Seattle Seahawks,1042217,65139,nfl
1999,St. Louis Rams,996035,62252,nfl
1999,Tampa Bay Buccaneers,1000867,62554,nfl
1999,Tennessee Titans,1017727,63608,nfl
1999,Washington Redskins,1160975,72561,nfl
1998,Arizona Cardinals,931131,58196,nfl
1998,Atlanta Falcons,964230,60264,nfl
1998,Baltimore Ravens,984079,61505,nfl
1998,Buffalo Bills,1042465,65154,nfl
1998,Carolina Panthers,969013,60563,nfl
1998,Chicago Bears,888984,55562,nfl
1998,Cincinnati Bengals,890688,55668,nfl
1998,Dallas Cowboys,1074662,67166,nfl
1998,Denver Broncos,1143483,71468,nfl
1998,Detroit Lions,1088584,68037,nfl
1998,Green Bay Packers,1008433,63027,nfl
1998,Indianapolis Colts,951979,59499,nfl
1998,Jacksonville Jaguars,1052428,65777,nfl
1998,Kansas City Chiefs,1105109,69069,nfl
1998,Miami Dolphins,1133314,70832,nfl
1998,Minnesota Vikings,1002032,62627,nfl
1998,New England Patriots,992674,62042,nfl
1998,New Orleans Saints,922225,57639,nfl
1998,New York Giants,1051142,65696,nfl
1998,New York Jets,1068172,66761,nfl
1998,Oakland Raiders,914541,57159,nfl
1998,Philadelphia Eagles,997399,62337,nfl
1998,Pittsburgh Steelers,1005545,62847,nfl
1998,San Diego Chargers,960990,60062,nfl
1998,San Francisco 49ers,1064279,66517,nfl
1998,Seattle Seahawks,1011897,63244,nfl
1998,St. Louis Rams,881037,55065,nfl
1998,Tampa Bay Buccaneers,1009175,63073,nfl
1998,Tennessee Oilers,791806,49488,nfl
1998,Washington Redskins,1020324,63770,nfl
