year,Tm,Attendance,Attend/G,organization
2013,TEX,3178273,38759,mlb
2013,TOR,2536562,31316,mlb
2013,WSN,2652422,32746,mlb
2012,ARI,2177617,26884,mlb
2012,ATL,2420171,29879,mlb
2012,BAL,2102240,25954,mlb
2012,BOS,3043003,37568,mlb
2012,CHC,2882756,35590,mlb
2012,CHW,1965955,24271,mlb
2012,CIN,2347251,28978,mlb
2012,CLE,1603596,19797,mlb
2012,COL,2630458,32475,mlb
2012,DET,3028033,37383,mlb
2012,HOU,1607733,19849,mlb
2012,KCR,1739859,21480,mlb
2012,LAA,3061770,37800,mlb
2012,LAD,3324246,41040,mlb
2012,MIA,2219444,27401,mlb
2012,MIL,2831385,34955,mlb
2012,MIN,2776354,34276,mlb
2012,NYM,2242803,27689,mlb
2012,NYY,3542406,43733,mlb
2012,OAK,1679013,20729,mlb
2012,PHI,3565718,44021,mlb
2012,PIT,2091918,25826,mlb
2012,SDP,2123721,26219,mlb
2012,SEA,1721920,21258,mlb
2012,SFG,3377371,41696,mlb
2012,STL,3262109,40273,mlb
2012,TBR,1559681,19255,mlb
2012,TEX,3460280,42720,mlb
2012,TOR,2099663,25922,mlb
2012,WSN,2370794,29269,mlb
2011,ARI,2105432,25993,mlb
2011,ATL,2372940,29296,mlb
2011,BAL,1755461,21672,mlb
2011,BOS,3054001,37704,mlb
2011,CHC,3017966,37259,mlb
2011,CHW,2001117,24705,mlb
2011,CIN,2213588,27328,mlb
2011,CLE,1840835,22726,mlb
2011,COL,2909777,35923,mlb
2011,DET,2642045,32618,mlb
2011,FLA,1520562,18772,mlb
2011,HOU,2067016,25519,mlb
2011,KCR,1724450,21290,mlb
2011,LAA,3166321,39090,mlb
2011,LAD,2935139,36236,mlb
2011,MIL,3071373,37918,mlb
2011,MIN,3168116,39113,mlb
2011,NYM,2352596,29044,mlb
2011,NYY,3653680,45107,mlb
2011,OAK,1476791,18232,mlb
2011,PHI,3680718,45441,mlb
2011,PIT,1940429,23956,mlb
2011,SDP,2143018,26457,mlb
2011,SEA,1896321,23411,mlb
2011,SFG,3387303,41819,mlb
2011,STL,3093954,38197,mlb
